Date,American,Carmel,Dial 7,Diplo,Firstclass,Highclass,Prestige,Skyline,Lyft,Uber,Yellow Taxis,Green Taxis
01-Jul-14,921,"2,871","2,233","1,046","1,744","1,368","3,345","1,668",0,"21,228","440,655","38,167"
02-Jul-14,"1,028","2,965","2,409","1,275","2,228","1,661","3,533","1,691",0,"26,480","434,416","42,472"
03-Jul-14,"1,068","3,361","2,520","1,200","2,121","1,599","3,649","1,157",0,"21,597","412,980","46,046"
04-Jul-14,"1,008","2,174","1,955","1,171","1,459","1,622","3,401",337,0,"14,148","306,773","41,535"
05-Jul-14,"1,214","1,846","1,371","1,371","1,703","1,898","4,081",276,0,"10,890","305,653","46,873"
06-Jul-14,"1,048","2,480","1,872","1,251","1,501","1,738","3,545",401,0,"11,443","310,376","40,354"
07-Jul-14,893,"3,028","2,213","1,009","1,768","1,457","3,284","1,330",0,"18,280","374,578","34,130"
08-Jul-14,916,"2,706","2,073","1,065","1,815","1,387","3,171","1,634",0,"25,763","430,482","35,756"
09-Jul-14,841,"2,883","2,209",987,"1,827","1,342","3,176","1,897",0,"27,817","443,822","36,503"
10-Jul-14,823,"3,222","2,425",904,"1,746","1,367","3,081","2,047",0,"30,541","451,208","39,051"
11-Jul-14,"1,067","2,906","2,282","1,128","2,085","1,672","3,758","1,440",0,"28,752","453,967","45,383"
12-Jul-14,"1,284","2,182","1,621","1,395","1,972","1,968","4,128",511,0,"25,936","442,979","54,366"
13-Jul-14,"1,060","2,412","1,884","1,249","1,655","1,750","3,902",493,0,"21,082","406,279","46,076"
14-Jul-14,900,"3,117","2,294","1,080","1,911","1,636","3,495","1,734",0,"27,350","412,054","37,143"
15-Jul-14,959,"2,991","2,327","1,079","1,903","1,473","3,355","2,012",0,"33,845","432,325","38,249"
16-Jul-14,907,"3,111","2,467",961,"1,800","1,386","3,059","2,109",0,"28,607","444,308","36,451"
17-Jul-14,944,"3,317","2,628",887,"1,811","1,325","3,206","1,987",0,"30,710","451,940","39,713"
18-Jul-14,"1,077","2,960","2,418","1,162","1,916","1,594","3,639","1,355",0,"29,860","455,255","46,130"
19-Jul-14,"1,246","2,138","1,606","1,273","1,866","1,786","3,959",475,0,"25,726","441,026","52,666"
20-Jul-14,"1,122","2,360","1,917","1,225","1,712","1,797","3,760",482,0,"21,212","394,270","45,355"
21-Jul-14,839,"3,077","2,254",937,"1,781","1,391","3,020","1,591",0,"23,578","394,920","33,042"
22-Jul-14,778,"2,882","2,088",932,"1,873","1,377","2,892","1,798",0,"29,029","442,945","35,203"
23-Jul-14,893,"3,097","2,458",929,"1,926","1,379","3,041","2,083",0,"34,073","461,755","38,839"
24-Jul-14,850,"3,345","2,616",913,"1,740","1,315","2,892","1,987",0,"32,050","456,722","38,704"
25-Jul-14,"1,084","3,112","2,397","1,115","2,035","1,646","3,562","1,449",40,"29,975","456,674","44,431"
26-Jul-14,"1,188","2,208","1,731","1,324","1,846","1,785","3,902",463,468,"27,708","444,333","53,004"
27-Jul-14,"1,082","2,320","1,780","1,269","1,675","1,738","3,882",525,623,"22,590","399,454","46,195"
28-Jul-14,828,"3,056","2,201",961,"1,860","1,457","3,119","1,651",418,"23,981","364,335","29,186"
29-Jul-14,782,"2,835","2,142",872,"1,699","1,400","2,962","1,837",671,"27,589","418,579","32,944"
30-Jul-14,825,"2,853","2,230",910,"1,744","1,358","2,923","1,896",884,"30,740","437,032","36,869"
31-Jul-14,873,"3,287","2,455",929,"1,871","1,457","3,094","1,961","1,150","33,541","447,939","41,471"
01-Aug-14,"1,213","2,947","2,383","1,218","2,046","1,937","3,801","1,359","1,506","32,353","448,577","49,955"
02-Aug-14,"1,328","2,257","1,653","1,343","1,919","2,005","4,297",489,"2,111","28,678","436,246","56,609"
03-Aug-14,"1,128","2,401","1,894","1,313","1,666","1,977","3,896",481,"2,023","23,146","394,086","47,424"
04-Aug-14,884,"3,088","2,283",989,"1,807","1,581","3,300","1,683","1,787","24,952","388,544","34,820"
05-Aug-14,895,"2,759","1,408",944,"1,721","1,420","3,204","1,781","2,276","28,094","417,838","35,995"
06-Aug-14,871,"2,884","2,134",870,"1,794","1,443","3,038","1,976","2,363","30,495","434,864","38,132"
07-Aug-14,911,"3,126","2,544",973,"1,787","1,511","3,234","1,990","4,331","32,759","441,609","41,111"
08-Aug-14,"1,106","3,040","2,348","1,050","2,046","1,722","3,771","1,497","6,190","30,411","440,982","46,974"
09-Aug-14,"1,296","2,249","1,673","1,343","1,808","1,983","4,162",441,"7,740","26,286","416,312","55,931"
10-Aug-14,"1,155","2,399","1,833","1,233","1,771","1,897","3,961",492,"7,330","20,584","368,032","46,745"
11-Aug-14,877,"2,924","2,181",964,"1,756","1,486","3,167","1,597","4,679","22,632","373,646","33,791"
12-Aug-14,840,"2,677","2,143",905,"1,703","1,455","3,112","1,900","5,202","29,646","409,433","36,164"
13-Aug-14,900,"2,927","2,247","1,035","1,908","1,604","3,463","1,862","5,786","29,788","430,021","38,111"
14-Aug-14,886,"3,160","2,424",906,"1,801","1,459","3,153","1,787","5,770","30,457","434,254","39,827"
15-Aug-14,"1,125","3,028","2,391","1,041","2,006","1,631","3,627","1,372","5,888","28,974","439,286","47,624"
16-Aug-14,"1,293","2,213","1,761","1,323","2,031","1,821","4,332",356,"6,171","26,234","415,156","56,626"
17-Aug-14,"1,112","2,514","2,007","1,248","1,762","1,857","3,913",531,"5,820","21,209","375,842","47,183"
18-Aug-14,884,"2,878","2,241","1,000","1,742","1,382","3,106","1,453","4,464","21,956","372,652","34,276"
19-Aug-14,831,"2,567","1,955",824,"1,750","1,360","2,929","1,628","5,156","24,834","402,119","33,716"
20-Aug-14,837,"2,882","2,207",847,"1,680","1,363","3,160","1,867","5,502","27,955","417,817","36,729"
21-Aug-14,874,"3,119","2,377",939,"1,803","1,465","3,211","1,846","5,579","32,304","436,384","41,126"
22-Aug-14,"1,083","2,973","2,288","1,093","1,952","1,601","3,749","1,332","6,051","29,512","415,567","47,136"
23-Aug-14,"1,184","2,143","1,686","1,291","1,760","1,844","3,963",506,"5,502","27,097","398,910","53,606"
24-Aug-14,"1,039","2,315","1,839","1,150","1,495","1,815","3,851",473,"4,531","22,036","360,342","46,004"
25-Aug-14,795,"2,745","2,031",891,"1,762","1,642","3,096","1,341","2,553","22,093","354,456","34,097"
26-Aug-14,785,"2,487","1,898",845,"1,603","1,330","2,781","1,534","2,472","24,550","385,522","34,199"
27-Aug-14,823,"2,789","2,066",860,"1,720","1,459","2,988","1,748","2,726","27,018","411,357","37,884"
28-Aug-14,895,"3,105","2,336",963,"1,732","1,450","3,056","1,698","4,664","28,597","410,299","40,579"
29-Aug-14,"1,176","3,001","2,387","1,157","1,900","1,785","3,765","1,203","6,779","27,424","406,737","48,602"
30-Aug-14,"1,265","2,081","1,481","1,282","1,686","2,034","4,308",420,"7,683","23,930","373,161","53,824"
31-Aug-14,"1,192","1,944","1,511","1,314","1,716","2,065","4,140",437,"6,813","23,271","349,421","48,338"
01-Sep-14,830,"2,387","2,000",848,"1,211","1,520","3,033","1,846","5,491","19,961","316,080","35,898"
02-Sep-14,955,"2,967","2,146",991,"1,703","1,565","3,387","2,063","4,467","28,831","405,137","36,957"
03-Sep-14,944,"2,794","2,031","1,006","1,852","1,513","3,269",437,"4,670","32,631","436,909","39,453"
04-Sep-14,970,"2,914","2,205",912,"1,846","1,652","3,303","1,746","4,890","38,360","464,560","43,364"
05-Sep-14,"1,104","2,871","2,145","1,194","1,914","1,872","3,874","1,978","5,748","42,319","491,597","50,243"
06-Sep-14,"1,317","2,152","1,617","1,249","1,798","2,176","4,192","2,121","7,722","40,520","498,687","59,470"
07-Sep-14,"1,107","2,426","1,878","1,122","1,645","2,014","3,705","1,680","6,797","30,134","441,151","48,610"
08-Sep-14,883,"3,050","2,215",934,"1,826","1,569","3,157",585,"3,849","30,360","426,013","37,010"
09-Sep-14,860,"2,780","2,112",810,"1,750","1,472","3,086",680,"3,895","34,560","445,940","37,694"
10-Sep-14,878,"3,006","2,348",865,"1,797","1,413","2,993","1,961","4,262","35,910","461,689","39,746"
11-Sep-14,860,"3,237","2,316",939,"1,908","1,465","3,210","2,106","4,872","36,439","473,585","42,838"
12-Sep-14,"1,096","3,183","2,406","1,113","2,016","1,883","3,877","2,219","4,712","39,540","481,786","51,430"
13-Sep-14,"1,440","2,315","1,771","1,440","2,085","2,375","4,470","2,128","5,226","43,205","509,480","64,184"
14-Sep-14,"1,256","2,600","2,039","1,261","1,815","2,163","4,211","1,731","4,116","28,122","446,339","51,675"
15-Sep-14,858,"3,294","2,363",953,"1,851","1,613","3,214",747,"2,187","29,454","417,686","37,400"
16-Sep-14,873,"3,074","2,185","1,025","1,894","1,676","3,205",754,"2,028","36,092","443,230","39,642"
17-Sep-14,785,"3,137","2,342",935,"1,742","1,532","3,013","1,988","2,149","35,531","446,201","39,566"
18-Sep-14,943,"3,507","2,795",983,"1,818","1,616","3,213","2,230","2,364","40,274","459,159","43,899"
19-Sep-14,"1,126","3,256","2,405","1,145","2,072","1,974","3,895","2,181","2,844","41,017","483,660","52,115"
20-Sep-14,"1,206","2,297","1,689","1,192","1,836","2,150","4,198","2,204","4,026","38,864","488,090","60,211"
21-Sep-14,"1,130","2,462","1,966","1,273","1,723","2,118","3,909","1,635","3,481","28,620","397,763","50,535"
22-Sep-14,812,"3,270","2,352",969,"1,817","1,638","3,110",574,"1,886","28,312","389,058","37,103"
23-Sep-14,768,"2,927","2,222",871,"1,771","1,451","3,025",651,"2,028","30,316","396,844","38,492"
24-Sep-14,841,"3,066","2,328",968,"1,764","1,437","3,077","1,784","2,243","31,301","412,595","40,373"
25-Sep-14,947,"3,159","2,377",984,"1,750","1,565","3,433","1,987","2,891","38,203","422,624","43,249"
26-Sep-14,"1,101","2,816","2,064","1,055","1,934","1,801","3,598","1,927","3,089","37,504","444,105","49,660"
27-Sep-14,"1,291","2,240","1,687","1,301","1,917","2,072","4,297","1,725","4,555","39,468","482,615","61,248"
28-Sep-14,"1,080","2,559","1,949","1,260","1,831","2,032","3,985","1,477","4,509","29,656","429,068","51,832"
29-Sep-14,772,"3,225","2,349",972,"1,868","1,558","3,215",561,"2,631","29,201","396,191","37,657"
30-Sep-14,848,"2,824","2,004","1,017","1,789","1,527","3,137",633,"2,371","33,431","431,354","38,665"